title,price,layout,address,agent,href
整租 | 裕安花园 2室1厅1卫,3000,2室1厅1卫    52㎡,新安  裕安花园距5号线灵芝地铁站步行374m,来自个人房源,https://short.58.com/zd_p/1e5d1f2f-2041-451a-9320-96a922068ea9/?target=fh-16-xgk_hvimob_57546033778154q-feykn&end=end&shangquan=xinanlu&shangquanId=1842&dataSource=1
单间 | 华业玫瑰四季一期 5室1厅1卫 其他 南,3000,其他(5室)    15㎡,民治  华业玫瑰四季一期,来自个人房源,https://short.58.com/zd_p/05c79038-5e0d-43dc-a6c3-5822fb219835/?target=fh-16-xgk_ephv_57849093916375q-feykn&end=end&shangquan=minzhi&shangquanId=6145&dataSource=1
整租 | 钟屋新村 1室 0厅1卫,1000,1室0厅1卫    25㎡,桃源居  钟屋新村,来自个人房源,https://short.58.com/zd_p/308bce84-3dc3-4122-b277-e062d36fe88f/?target=fh-16-xgk_hvimob_57897313916504q-feykn&end=end&shangquan=taoyuanju&shangquanId=6152&dataSource=1
单间 | 留仙茗苑 5室1厅1卫 次卧 朝南北,1000,次卧(5室)    15㎡,西丽  留仙茗苑,来自个人房源,https://short.58.com/zd_p/aa02d6b0-47ff-47b0-a2d4-68c3bd53ba11/?target=fh-16-xgk_ephv_57894793464369q-feykn&end=end&shangquan=xililu&shangquanId=1841&dataSource=1
整租 | 上围园新村 1室0厅1卫,1100,1室0厅1卫    25㎡,西乡  上围园新村距1号线固戍地铁站步行1024m,来自个人房源,https://short.58.com/zd_p/dc2e986f-9f92-49c6-9a64-ef97a70db538/?target=fh-16-xgk_hvimob_57823642592044q-feykn&end=end&shangquan=xixiangsz&shangquanId=6151&dataSource=1
整租 | 西头新村 1室0厅1卫,1180,1室0厅1卫    26㎡,民治  西头新村距4号线龙胜地铁站步行898m,来自个人房源,https://short.58.com/zd_p/9488f3e5-6b7b-48af-8c4f-9a509daba314/?target=fh-16-xgk_hvimob_54228456633967q-feykn&end=end&shangquan=minzhi&shangquanId=6145&dataSource=1
整租 | 荔湖花园 1室1厅1卫,1600,1室1厅1卫    35㎡,石岩  荔湖花园,来自个人房源,https://short.58.com/zd_p/642df96f-21d4-47ea-a6ab-901f0464af48/?target=fh-16-xgk_hvimob_57807146949012q-feykn&end=end&shangquan=shiyansz&shangquanId=6156&dataSource=1
单间 | 大冲新城花园 2室1厅1卫 次卧 南,680,次卧(2室)    60㎡,大冲  大冲新城花园,来自个人房源,https://short.58.com/zd_p/293f8957-8e29-4f0e-a869-cbafc345fca6/?target=fh-16-xgk_ephv_57536692036472q-feykn&end=end&shangquan=dachong&shangquanId=6102&dataSource=1
整租 | 径贝新村 1室 1厅1卫,1800,1室1厅1卫    39㎡,西乡  径贝新村距1号线坪洲地铁站步行920m,来自个人房源,https://short.58.com/zd_p/838e5b2b-10e0-4a3d-896b-aed8d037e7bb/?target=fh-16-xgk_hvimob_57300034477907q-feykn&end=end&shangquan=xixiangsz&shangquanId=6151&dataSource=1
整租 | 大世纪花园 1室1厅1卫,1200,1室1厅1卫    30㎡,木棉湾  大世纪花园距3号线木棉湾地铁站步行1136m,来自个人房源,https://short.58.com/zd_p/f50153e7-b473-4ff5-a892-b06a00bc404a/?target=fh-16-xgk_hvimob_57819705596092q-feykn&end=end&shangquan=szmmw&shangquanId=18313&dataSource=1
整租 | 爱联A区 1室0厅1卫,850,1室0厅1卫    25㎡,大运  爱联A区距3号线爱联地铁站步行761m,来自个人房源,https://short.58.com/zd_p/55ba7ae6-79ad-4866-9389-b5e1dfe2bd1d/?target=fh-16-xgk_hvimob_57545020051673q-feykn&end=end&shangquan=dayunxc&shangquanId=14731&dataSource=1
整租 | 固戍红湾新村 1室 0厅1卫,1000,1室0厅1卫    28㎡,西乡  固戍红湾新村距1号线固戍地铁站步行868m,来自个人房源,https://short.58.com/zd_p/731faaa7-1dc8-4e96-802c-c32b6f800c8c/?target=fh-16-xgk_hvimob_57813445353617q-feykn&end=end&shangquan=xixiangsz&shangquanId=6151&dataSource=1
整租 | 下沙四坊 1室0厅1卫,1380,1室0厅1卫    22㎡,农科中心  下沙四坊距9号线下沙地铁站步行826m,来自个人房源,https://sz.58.com/zufang/41352686133646x.shtml?houseId=1371102140947462&shangquan=nkzxsz&shangquanId=116834&dataSource=0
整租 | 富豪花园 1室0厅1卫,1480,1室0厅1卫    19㎡,坂田  富豪花园距5号线坂田地铁站步行237m,来自个人房源,https://sz.58.com/zufang/41375644018080x.shtml?houseId=1374040750136335&shangquan=bantianq&shangquanId=2688&dataSource=0
单间 | 金地花园(北区) 1室0厅1卫 主卧 南,2200,主卧(1室)    29㎡,上沙  金地花园(北区),来自个人房源,https://sz.58.com/hezu/40686976329359x.shtml?houseId=1285891286130697&shangquan=shangsha&shangquanId=6089&dataSource=0
整租 | 荣泰园 2室1厅1卫,2500,2室1厅1卫    50㎡,沙井  荣泰园距11号线沙井地铁站步行904m,来自个人房源,https://sz.58.com/zufang/40840520200228x.shtml?houseId=1305544901565455&shangquan=shajing&shangquanId=1846&dataSource=0
整租 | 双桥花园 1室0厅1卫,800,1室0厅1卫    18㎡,龙华中心区  双桥花园距4号线龙华地铁站步行1140m,来自个人房源,https://sz.58.com/zufang/41414440248231x.shtml?houseId=1379006667758604&shangquan=szlhzxq&shangquanId=18231&dataSource=0
整租 | 上围园新村 1室 0厅1卫,1000,1室0厅1卫    28㎡,西乡  上围园新村距1号线固戍地铁站步行1024m,来自个人房源,https://sz.58.com/zufang/41270393303937x.shtml?houseId=1360568658977805&shangquan=xixiangsz&shangquanId=6151&dataSource=0
整租 | 中粮创芯公园 1室1厅1卫,4500,1室1厅1卫    45.45㎡,新安  中粮创芯公园距5号线兴东地铁站步行624m,来自个人房源,https://sz.58.com/zufang/41308636968583x.shtml?houseId=1365463848231946&shangquan=xinanlu&shangquanId=1842&dataSource=0
整租 | 盛平村 1室0厅1卫,600,1室0厅1卫    18㎡,南联  盛平村,来自个人房源,https://sz.58.com/zufang/40144861680404x.shtml?houseId=1216500610669568&shangquan=nls&shangquanId=119292&dataSource=0
整租 | 荟芳园 3室2厅2卫,11500,3室2厅2卫    120㎡,南山地铁口  荟芳园距1号线桃园地铁站步行942m,来自个人房源,https://sz.58.com/zufang/41297356215558x.shtml?houseId=1364019911500806&shangquan=haiwangdasha&shangquanId=6108&dataSource=0
整租 | 西头新村 1室0厅1卫,1200,1室0厅1卫    25㎡,民治  西头新村距4号线龙胜地铁站步行898m,来自个人房源,https://short.58.com/zd_p/adaac90b-f0cc-4f78-8656-b2997efcc750/?target=fh-16-xgk_hvimob_57576071165242q-feykn&end=end&shangquan=minzhi&shangquanId=6145&dataSource=1
整租 | 马鞍山小区 1室1厅1卫,2100,1室1厅1卫    35㎡,坪洲  马鞍山小区距1号线坪洲地铁站步行1213m,来自个人房源,https://sz.58.com/zufang/41435421175196x.shtml?houseId=1381692226495492&shangquan=pzsz&shangquanId=118576&dataSource=0
整租 | 桥头村 1室1厅1卫,1200,1室1厅1卫    50㎡,桥头  桥头村距11号线桥头地铁站步行854m,来自个人房源,https://sz.58.com/zufang/41348260316037x.shtml?houseId=1370535636459533&shangquan=qiaots&shangquanId=118580&dataSource=0
单间 | 大冲新城花园 2室1厅1卫 次卧 北,3200,次卧(2室)    10㎡,大冲  大冲新城花园,来自个人房源,https://sz.58.com/hezu/41407864833064x.shtml?houseId=1378165014667264&shangquan=dachong&shangquanId=6102&dataSource=0
单间 | 清湖社区新村 1室0厅0卫 主卧 南北,1280,主卧(1室)    30㎡,清湖  清湖社区新村,来自个人房源,https://sz.58.com/hezu/41051903868804x.shtml?houseId=1332602010674179&shangquan=qhsz&shangquanId=116836&dataSource=0
单间 | 景洲大厦 3室2厅2卫 次卧 南,2180,次卧(3室)    15㎡,景田北  景洲大厦,来自个人房源,https://sz.58.com/hezu/41407055551107x.shtml?houseId=1378061426515969&shangquan=jingtian&shangquanId=2671&dataSource=0
整租 | 宝龙小区 1室1厅1卫,1000,1室1厅1卫    38㎡,南联  宝龙小区距3号线龙城广场地铁站步行797m,来自个人房源,https://sz.58.com/zufang/41293197506594x.shtml?houseId=1363487596389379&shangquan=nls&shangquanId=119292&dataSource=0
整租 | 文雅豪庭 1室1厅1卫,1200,1室1厅1卫    35㎡,木棉湾  文雅豪庭距3号线木棉湾地铁站步行1174m,来自个人房源,https://sz.58.com/zufang/41356137658918x.shtml?houseId=1371543936179203&shangquan=szmmw&shangquanId=18313&dataSource=0
单间 | 国兴苑 1室0厅1卫 主卧 南,1800,主卧(1室)    15㎡,前海  国兴苑,来自个人房源,https://sz.58.com/hezu/41139063536777x.shtml?houseId=1343758448663554&shangquan=qianhai&shangquanId=2685&dataSource=0
单间 | 美丽365花园 4室1厅1卫 主卧 西,1650,主卧(4室)    13㎡,美丽365花园  美丽365花园,来自个人房源,https://sz.58.com/hezu/41414103216783x.shtml?houseId=1378963527752711&shangquan=meilihy&shangquanId=14559&dataSource=0
整租 | 马五村 2室1厅1卫,1300,2室1厅1卫    40㎡,横岗  马五村距3号线横岗地铁站步行1142m,来自个人房源,https://sz.58.com/zufang/41364512395421x.shtml?houseId=1372615902568452&shangquan=henggang&shangquanId=1856&dataSource=0
整租 | 塘西花园 1室0厅1卫,1380,1室0厅1卫    20㎡,固戍  塘西花园距1号线固戍地铁站步行1000m,来自个人房源,https://sz.58.com/zufang/39029343321499x.shtml?houseId=1073714261860353&shangquan=gss&shangquanId=117722&dataSource=0
整租 | 横岗深竹小区 1室0厅1卫,1200,1室0厅1卫    25㎡,横岗  横岗深竹小区距3号线六约地铁站步行669m,来自个人房源,https://sz.58.com/zufang/41315924010882x.shtml?houseId=1366396589384716&shangquan=henggang&shangquanId=1856&dataSource=0
整租 | 东埔福苑 1室0厅1卫,2200,1室0厅1卫    27㎡,沙头角  东埔福苑,来自个人房源,https://sz.58.com/zufang/41324945454483x.shtml?houseId=1367551334210563&shangquan=shatoujiao&shangquanId=1865&dataSource=0
整租 | 臣田综合楼 3室2厅1卫,3000,3室2厅1卫    110㎡,流塘  臣田综合楼,来自个人房源,https://sz.58.com/zufang/39833231675139x.shtml?houseId=1176611970882560&shangquan=ltszs&shangquanId=118585&dataSource=0
整租 | 鸿景湾名苑 2室2厅1卫,9000,2室2厅1卫    82㎡,上沙  鸿景湾名苑距9号线下沙地铁站步行1183m,来自个人房源,https://sz.58.com/zufang/41297988813220x.shtml?houseId=1364100884029449&shangquan=shangsha&shangquanId=6089&dataSource=0
单间 | 宝安九区商住楼 4室1厅1卫 主卧 南,1100,主卧(4室)    20㎡,宝安中心区  宝安九区商住楼,来自个人房源,https://sz.58.com/hezu/41430391242141x.shtml?houseId=1381048395014159&shangquan=baoanzhongxinquba&shangquanId=6150&dataSource=0
整租 | 西丽新屋村 1室0厅1卫,2250,1室0厅1卫    22㎡,桃源村  西丽新屋村距7号线珠光地铁站步行890m,来自个人房源,https://sz.58.com/zufang/41430890937374x.shtml?houseId=1381112356019200&shangquan=taoyuancun&shangquanId=6111&dataSource=0
整租 | 上围园新村 1室0厅1卫,1050,1室0厅1卫    30㎡,西乡  上围园新村距1号线固戍地铁站步行1024m,来自个人房源,https://sz.58.com/zufang/41331740233376x.shtml?houseId=1368421065793550&shangquan=xixiangsz&shangquanId=6151&dataSource=0
整租 | 富联一区 1室0厅1卫,1500,1室0厅1卫    26㎡,美丽365花园  富联一区距4号线清湖地铁站步行503m,来自个人房源,https://short.58.com/zd_p/48efa6ee-dfe4-457a-8eda-d5700703f05a/?target=fh-16-xgk_hvimob_57823048904110q-feykn&end=end&shangquan=meilihy&shangquanId=14559&dataSource=1
单间 | 大冲新城花园 2室1厅1卫 次卧 南,680,次卧(2室)    60㎡,大冲  大冲新城花园,来自个人房源,https://short.58.com/zd_p/414ed4c2-acf8-4589-8d0d-176fa4ff9ec4/?target=fh-16-xgk_ephv_57536692036472q-feykn&end=end&shangquan=dachong&shangquanId=6102&dataSource=1
整租 | 华润小径湾 2室1厅1卫,5000,2室1厅1卫    93㎡,惠州  华润小径湾,来自个人房源,https://short.58.com/zd_p/212cb6f6-76ed-4b58-8491-1137ce820aa8/?target=fh-16-xgk_hvimob_57897444094074q-feykn&end=end&shangquan=huizhouszzb&shangquanId=117096&dataSource=1
整租 | 卓然居 1室0厅1卫,1500,1室0厅1卫    31㎡,横岗  卓然居,来自个人房源,https://short.58.com/zd_p/e240230f-6828-4740-8335-1881115af0ab/?target=fh-16-xgk_hvimob_57380299716059q-feykn&end=end&shangquan=henggang&shangquanId=1856&dataSource=1
单间 | 丹平小区 1室0厅1卫 主卧 南,780,主卧(1室)    18㎡,丹竹头  丹平小区,来自个人房源,https://short.58.com/zd_p/46703f2e-5859-4b21-91ba-a86962b8bd4e/?target=fh-16-xgk_ephv_57892186706630q-feykn&end=end&shangquan=szshawan&shangquanId=12817&dataSource=1
整租 | 合水口村 3室1厅1卫,2000,3室1厅1卫    140㎡,公明  合水口村,来自个人房源,https://short.58.com/zd_p/3005bf92-0dc5-49e7-a421-41dd0a92121b/?target=fh-16-xgk_hvimob_57539356322137q-feykn&end=end&shangquan=gongmingsz&shangquanId=112573&dataSource=1
整租 | 高嘉大厦 1室1厅1卫,2800,1室1厅1卫    33㎡,人民南  高嘉大厦距9号线文锦地铁站步行71m,来自个人房源,https://short.58.com/zd_p/2bcde943-aa79-4697-a8da-9c35fa2431e2/?target=fh-16-xgk_hvimob_57330243876013q-feykn&end=end&shangquan=renminnan&shangquanId=2678&dataSource=1
整租 | 黄金豪庭(龙岗) 1室1厅1卫,1900,1室1厅1卫    42㎡,南岭  黄金豪庭(龙岗)距3号线丹竹头地铁站步行1255m,来自个人房源,https://short.58.com/zd_p/375ff896-8f4a-44c5-a810-d5034a5a1ab3/?target=fh-16-xgk_hvimob_57532582709387q-feykn&end=end&shangquan=sznl&shangquanId=15551&dataSource=1
单间 | 深运大厦 1室0厅1卫 主卧,3000,主卧(1室)    15㎡,东门  深运大厦,来自个人房源,https://short.58.com/zd_p/5af5f7fe-4e5d-4bce-b2ae-cd4b0eff8fcc/?target=fh-16-xgk_ephv_57895115940803q-feykn&end=end&shangquan=dongmen&shangquanId=1826&dataSource=1
整租 | 花半里欣悦广场 1室1厅1卫,1400,1室1厅1卫    30㎡,平湖  花半里欣悦广场,来自个人房源,https://short.58.com/zd_p/750e17ac-e4b6-4b99-87ba-00b872e46a0e/?target=fh-16-xgk_hvimob_57865170127831q-feykn&end=end&shangquan=szpinghu&shangquanId=11916&dataSource=1
整租 | 富联二区 1室0厅1卫,1100,1室0厅1卫    22㎡,龙华区政府  富联二区距4号线清湖地铁站步行1262m,来自个人房源,https://short.58.com/zd_p/8e3470a5-36a5-45c2-b067-b8d898464e41/?target=fh-16-xgk_hvimob_57537823196208q-feykn&end=end&shangquan=lhqzfsz&shangquanId=116835&dataSource=1
整租 | 保成泰八达产业园 1室1厅1卫,1980,1室1厅1卫    45㎡,横岗  保成泰八达产业园距3号线塘坑地铁站步行503m,来自个人房源,https://sz.58.com/zufang/41372681516070x.shtml?houseId=1373661549995021&shangquan=henggang&shangquanId=1856&dataSource=0
整租 | 嘉葆润金座 2室1厅1卫,7000,2室1厅1卫    60㎡,新洲  嘉葆润金座距7号线沙尾地铁站步行734m,来自个人房源,https://sz.58.com/zufang/41416603221264x.shtml?houseId=1379283528342530&shangquan=szxinzhou&shangquanId=2670&dataSource=0
