,Region,form,location,price,size,layouts,detail,href
0,新安,整租 ,裕安花园距5号线灵芝地铁站步行374m,3000,52,2室1厅1卫, 裕安花园 2室1厅1卫,https://short.58.com/zd_p/1e5d1f2f-2041-451a-9320-96a922068ea9/?target=fh-16-xgk_hvimob_57546033778154q-feykn&end=end&shangquan=xinanlu&shangquanId=1842&dataSource=1
1,民治,单间 ,华业玫瑰四季一期,3000,15,其他(5室), 华业玫瑰四季一期 5室1厅1卫 其他 南,https://short.58.com/zd_p/05c79038-5e0d-43dc-a6c3-5822fb219835/?target=fh-16-xgk_ephv_57849093916375q-feykn&end=end&shangquan=minzhi&shangquanId=6145&dataSource=1
2,桃源居,整租 ,钟屋新村,1000,25,1室0厅1卫, 钟屋新村 1室 0厅1卫,https://short.58.com/zd_p/308bce84-3dc3-4122-b277-e062d36fe88f/?target=fh-16-xgk_hvimob_57897313916504q-feykn&end=end&shangquan=taoyuanju&shangquanId=6152&dataSource=1
3,西丽,单间 ,留仙茗苑,1000,15,次卧(5室), 留仙茗苑 5室1厅1卫 次卧 朝南北,https://short.58.com/zd_p/aa02d6b0-47ff-47b0-a2d4-68c3bd53ba11/?target=fh-16-xgk_ephv_57894793464369q-feykn&end=end&shangquan=xililu&shangquanId=1841&dataSource=1
4,西乡,整租 ,上围园新村距1号线固戍地铁站步行1024m,1100,25,1室0厅1卫, 上围园新村 1室0厅1卫,https://short.58.com/zd_p/dc2e986f-9f92-49c6-9a64-ef97a70db538/?target=fh-16-xgk_hvimob_57823642592044q-feykn&end=end&shangquan=xixiangsz&shangquanId=6151&dataSource=1
5,民治,整租 ,西头新村距4号线龙胜地铁站步行898m,1180,26,1室0厅1卫, 西头新村 1室0厅1卫,https://short.58.com/zd_p/9488f3e5-6b7b-48af-8c4f-9a509daba314/?target=fh-16-xgk_hvimob_54228456633967q-feykn&end=end&shangquan=minzhi&shangquanId=6145&dataSource=1
6,石岩,整租 ,荔湖花园,1600,35,1室1厅1卫, 荔湖花园 1室1厅1卫,https://short.58.com/zd_p/642df96f-21d4-47ea-a6ab-901f0464af48/?target=fh-16-xgk_hvimob_57807146949012q-feykn&end=end&shangquan=shiyansz&shangquanId=6156&dataSource=1
7,大冲,单间 ,大冲新城花园,680,60,次卧(2室), 大冲新城花园 2室1厅1卫 次卧 南,https://short.58.com/zd_p/293f8957-8e29-4f0e-a869-cbafc345fca6/?target=fh-16-xgk_ephv_57536692036472q-feykn&end=end&shangquan=dachong&shangquanId=6102&dataSource=1
8,西乡,整租 ,径贝新村距1号线坪洲地铁站步行920m,1800,39,1室1厅1卫, 径贝新村 1室 1厅1卫,https://short.58.com/zd_p/838e5b2b-10e0-4a3d-896b-aed8d037e7bb/?target=fh-16-xgk_hvimob_57300034477907q-feykn&end=end&shangquan=xixiangsz&shangquanId=6151&dataSource=1
9,木棉湾,整租 ,大世纪花园距3号线木棉湾地铁站步行1136m,1200,30,1室1厅1卫, 大世纪花园 1室1厅1卫,https://short.58.com/zd_p/f50153e7-b473-4ff5-a892-b06a00bc404a/?target=fh-16-xgk_hvimob_57819705596092q-feykn&end=end&shangquan=szmmw&shangquanId=18313&dataSource=1
10,大运,整租 ,爱联A区距3号线爱联地铁站步行761m,850,25,1室0厅1卫, 爱联A区 1室0厅1卫,https://short.58.com/zd_p/55ba7ae6-79ad-4866-9389-b5e1dfe2bd1d/?target=fh-16-xgk_hvimob_57545020051673q-feykn&end=end&shangquan=dayunxc&shangquanId=14731&dataSource=1
11,西乡,整租 ,固戍红湾新村距1号线固戍地铁站步行868m,1000,28,1室0厅1卫, 固戍红湾新村 1室 0厅1卫,https://short.58.com/zd_p/731faaa7-1dc8-4e96-802c-c32b6f800c8c/?target=fh-16-xgk_hvimob_57813445353617q-feykn&end=end&shangquan=xixiangsz&shangquanId=6151&dataSource=1
12,农科中心,整租 ,下沙四坊距9号线下沙地铁站步行826m,1380,22,1室0厅1卫, 下沙四坊 1室0厅1卫,https://sz.58.com/zufang/41352686133646x.shtml?houseId=1371102140947462&shangquan=nkzxsz&shangquanId=116834&dataSource=0
13,坂田,整租 ,富豪花园距5号线坂田地铁站步行237m,1480,19,1室0厅1卫, 富豪花园 1室0厅1卫,https://sz.58.com/zufang/41375644018080x.shtml?houseId=1374040750136335&shangquan=bantianq&shangquanId=2688&dataSource=0
14,上沙,单间 ,金地花园(北区),2200,29,主卧(1室), 金地花园(北区) 1室0厅1卫 主卧 南,https://sz.58.com/hezu/40686976329359x.shtml?houseId=1285891286130697&shangquan=shangsha&shangquanId=6089&dataSource=0
15,沙井,整租 ,荣泰园距11号线沙井地铁站步行904m,2500,50,2室1厅1卫, 荣泰园 2室1厅1卫,https://sz.58.com/zufang/40840520200228x.shtml?houseId=1305544901565455&shangquan=shajing&shangquanId=1846&dataSource=0
16,龙华中心区,整租 ,双桥花园距4号线龙华地铁站步行1140m,800,18,1室0厅1卫, 双桥花园 1室0厅1卫,https://sz.58.com/zufang/41414440248231x.shtml?houseId=1379006667758604&shangquan=szlhzxq&shangquanId=18231&dataSource=0
17,西乡,整租 ,上围园新村距1号线固戍地铁站步行1024m,1000,28,1室0厅1卫, 上围园新村 1室 0厅1卫,https://sz.58.com/zufang/41270393303937x.shtml?houseId=1360568658977805&shangquan=xixiangsz&shangquanId=6151&dataSource=0
18,新安,整租 ,中粮创芯公园距5号线兴东地铁站步行624m,4500,45,1室1厅1卫, 中粮创芯公园 1室1厅1卫,https://sz.58.com/zufang/41308636968583x.shtml?houseId=1365463848231946&shangquan=xinanlu&shangquanId=1842&dataSource=0
19,南联,整租 ,盛平村,600,18,1室0厅1卫, 盛平村 1室0厅1卫,https://sz.58.com/zufang/40144861680404x.shtml?houseId=1216500610669568&shangquan=nls&shangquanId=119292&dataSource=0
20,南山地铁口,整租 ,荟芳园距1号线桃园地铁站步行942m,11500,120,3室2厅2卫, 荟芳园 3室2厅2卫,https://sz.58.com/zufang/41297356215558x.shtml?houseId=1364019911500806&shangquan=haiwangdasha&shangquanId=6108&dataSource=0
21,民治,整租 ,西头新村距4号线龙胜地铁站步行898m,1200,25,1室0厅1卫, 西头新村 1室0厅1卫,https://short.58.com/zd_p/adaac90b-f0cc-4f78-8656-b2997efcc750/?target=fh-16-xgk_hvimob_57576071165242q-feykn&end=end&shangquan=minzhi&shangquanId=6145&dataSource=1
22,坪洲,整租 ,马鞍山小区距1号线坪洲地铁站步行1213m,2100,35,1室1厅1卫, 马鞍山小区 1室1厅1卫,https://sz.58.com/zufang/41435421175196x.shtml?houseId=1381692226495492&shangquan=pzsz&shangquanId=118576&dataSource=0
23,桥头,整租 ,桥头村距11号线桥头地铁站步行854m,1200,50,1室1厅1卫, 桥头村 1室1厅1卫,https://sz.58.com/zufang/41348260316037x.shtml?houseId=1370535636459533&shangquan=qiaots&shangquanId=118580&dataSource=0
24,大冲,单间 ,大冲新城花园,3200,10,次卧(2室), 大冲新城花园 2室1厅1卫 次卧 北,https://sz.58.com/hezu/41407864833064x.shtml?houseId=1378165014667264&shangquan=dachong&shangquanId=6102&dataSource=0
25,清湖,单间 ,清湖社区新村,1280,30,主卧(1室), 清湖社区新村 1室0厅0卫 主卧 南北,https://sz.58.com/hezu/41051903868804x.shtml?houseId=1332602010674179&shangquan=qhsz&shangquanId=116836&dataSource=0
26,景田北,单间 ,景洲大厦,2180,15,次卧(3室), 景洲大厦 3室2厅2卫 次卧 南,https://sz.58.com/hezu/41407055551107x.shtml?houseId=1378061426515969&shangquan=jingtian&shangquanId=2671&dataSource=0
27,南联,整租 ,宝龙小区距3号线龙城广场地铁站步行797m,1000,38,1室1厅1卫, 宝龙小区 1室1厅1卫,https://sz.58.com/zufang/41293197506594x.shtml?houseId=1363487596389379&shangquan=nls&shangquanId=119292&dataSource=0
28,木棉湾,整租 ,文雅豪庭距3号线木棉湾地铁站步行1174m,1200,35,1室1厅1卫, 文雅豪庭 1室1厅1卫,https://sz.58.com/zufang/41356137658918x.shtml?houseId=1371543936179203&shangquan=szmmw&shangquanId=18313&dataSource=0
29,前海,单间 ,国兴苑,1800,15,主卧(1室), 国兴苑 1室0厅1卫 主卧 南,https://sz.58.com/hezu/41139063536777x.shtml?houseId=1343758448663554&shangquan=qianhai&shangquanId=2685&dataSource=0
30,美丽365花园,单间 ,美丽365花园,1650,13,主卧(4室), 美丽365花园 4室1厅1卫 主卧 西,https://sz.58.com/hezu/41414103216783x.shtml?houseId=1378963527752711&shangquan=meilihy&shangquanId=14559&dataSource=0
31,横岗,整租 ,马五村距3号线横岗地铁站步行1142m,1300,40,2室1厅1卫, 马五村 2室1厅1卫,https://sz.58.com/zufang/41364512395421x.shtml?houseId=1372615902568452&shangquan=henggang&shangquanId=1856&dataSource=0
32,固戍,整租 ,塘西花园距1号线固戍地铁站步行1000m,1380,20,1室0厅1卫, 塘西花园 1室0厅1卫,https://sz.58.com/zufang/39029343321499x.shtml?houseId=1073714261860353&shangquan=gss&shangquanId=117722&dataSource=0
33,横岗,整租 ,横岗深竹小区距3号线六约地铁站步行669m,1200,25,1室0厅1卫, 横岗深竹小区 1室0厅1卫,https://sz.58.com/zufang/41315924010882x.shtml?houseId=1366396589384716&shangquan=henggang&shangquanId=1856&dataSource=0
34,沙头角,整租 ,东埔福苑,2200,27,1室0厅1卫, 东埔福苑 1室0厅1卫,https://sz.58.com/zufang/41324945454483x.shtml?houseId=1367551334210563&shangquan=shatoujiao&shangquanId=1865&dataSource=0
35,流塘,整租 ,臣田综合楼,3000,110,3室2厅1卫, 臣田综合楼 3室2厅1卫,https://sz.58.com/zufang/39833231675139x.shtml?houseId=1176611970882560&shangquan=ltszs&shangquanId=118585&dataSource=0
36,上沙,整租 ,鸿景湾名苑距9号线下沙地铁站步行1183m,9000,82,2室2厅1卫, 鸿景湾名苑 2室2厅1卫,https://sz.58.com/zufang/41297988813220x.shtml?houseId=1364100884029449&shangquan=shangsha&shangquanId=6089&dataSource=0
37,宝安中心区,单间 ,宝安九区商住楼,1100,20,主卧(4室), 宝安九区商住楼 4室1厅1卫 主卧 南,https://sz.58.com/hezu/41430391242141x.shtml?houseId=1381048395014159&shangquan=baoanzhongxinquba&shangquanId=6150&dataSource=0
38,桃源村,整租 ,西丽新屋村距7号线珠光地铁站步行890m,2250,22,1室0厅1卫, 西丽新屋村 1室0厅1卫,https://sz.58.com/zufang/41430890937374x.shtml?houseId=1381112356019200&shangquan=taoyuancun&shangquanId=6111&dataSource=0
39,西乡,整租 ,上围园新村距1号线固戍地铁站步行1024m,1050,30,1室0厅1卫, 上围园新村 1室0厅1卫,https://sz.58.com/zufang/41331740233376x.shtml?houseId=1368421065793550&shangquan=xixiangsz&shangquanId=6151&dataSource=0
40,美丽365花园,整租 ,富联一区距4号线清湖地铁站步行503m,1500,26,1室0厅1卫, 富联一区 1室0厅1卫,https://short.58.com/zd_p/48efa6ee-dfe4-457a-8eda-d5700703f05a/?target=fh-16-xgk_hvimob_57823048904110q-feykn&end=end&shangquan=meilihy&shangquanId=14559&dataSource=1
41,大冲,单间 ,大冲新城花园,680,60,次卧(2室), 大冲新城花园 2室1厅1卫 次卧 南,https://short.58.com/zd_p/414ed4c2-acf8-4589-8d0d-176fa4ff9ec4/?target=fh-16-xgk_ephv_57536692036472q-feykn&end=end&shangquan=dachong&shangquanId=6102&dataSource=1
42,惠州,整租 ,华润小径湾,5000,93,2室1厅1卫, 华润小径湾 2室1厅1卫,https://short.58.com/zd_p/212cb6f6-76ed-4b58-8491-1137ce820aa8/?target=fh-16-xgk_hvimob_57897444094074q-feykn&end=end&shangquan=huizhouszzb&shangquanId=117096&dataSource=1
43,横岗,整租 ,卓然居,1500,31,1室0厅1卫, 卓然居 1室0厅1卫,https://short.58.com/zd_p/e240230f-6828-4740-8335-1881115af0ab/?target=fh-16-xgk_hvimob_57380299716059q-feykn&end=end&shangquan=henggang&shangquanId=1856&dataSource=1
44,丹竹头,单间 ,丹平小区,780,18,主卧(1室), 丹平小区 1室0厅1卫 主卧 南,https://short.58.com/zd_p/46703f2e-5859-4b21-91ba-a86962b8bd4e/?target=fh-16-xgk_ephv_57892186706630q-feykn&end=end&shangquan=szshawan&shangquanId=12817&dataSource=1
45,公明,整租 ,合水口村,2000,140,3室1厅1卫, 合水口村 3室1厅1卫,https://short.58.com/zd_p/3005bf92-0dc5-49e7-a421-41dd0a92121b/?target=fh-16-xgk_hvimob_57539356322137q-feykn&end=end&shangquan=gongmingsz&shangquanId=112573&dataSource=1
46,人民南,整租 ,高嘉大厦距9号线文锦地铁站步行71m,2800,33,1室1厅1卫, 高嘉大厦 1室1厅1卫,https://short.58.com/zd_p/2bcde943-aa79-4697-a8da-9c35fa2431e2/?target=fh-16-xgk_hvimob_57330243876013q-feykn&end=end&shangquan=renminnan&shangquanId=2678&dataSource=1
47,南岭,整租 ,黄金豪庭(龙岗)距3号线丹竹头地铁站步行1255m,1900,42,1室1厅1卫, 黄金豪庭(龙岗) 1室1厅1卫,https://short.58.com/zd_p/375ff896-8f4a-44c5-a810-d5034a5a1ab3/?target=fh-16-xgk_hvimob_57532582709387q-feykn&end=end&shangquan=sznl&shangquanId=15551&dataSource=1
48,东门,单间 ,深运大厦,3000,15,主卧(1室), 深运大厦 1室0厅1卫 主卧,https://short.58.com/zd_p/5af5f7fe-4e5d-4bce-b2ae-cd4b0eff8fcc/?target=fh-16-xgk_ephv_57895115940803q-feykn&end=end&shangquan=dongmen&shangquanId=1826&dataSource=1
49,平湖,整租 ,花半里欣悦广场,1400,30,1室1厅1卫, 花半里欣悦广场 1室1厅1卫,https://short.58.com/zd_p/750e17ac-e4b6-4b99-87ba-00b872e46a0e/?target=fh-16-xgk_hvimob_57865170127831q-feykn&end=end&shangquan=szpinghu&shangquanId=11916&dataSource=1
50,龙华区政府,整租 ,富联二区距4号线清湖地铁站步行1262m,1100,22,1室0厅1卫, 富联二区 1室0厅1卫,https://short.58.com/zd_p/8e3470a5-36a5-45c2-b067-b8d898464e41/?target=fh-16-xgk_hvimob_57537823196208q-feykn&end=end&shangquan=lhqzfsz&shangquanId=116835&dataSource=1
51,横岗,整租 ,保成泰八达产业园距3号线塘坑地铁站步行503m,1980,45,1室1厅1卫, 保成泰八达产业园 1室1厅1卫,https://sz.58.com/zufang/41372681516070x.shtml?houseId=1373661549995021&shangquan=henggang&shangquanId=1856&dataSource=0
52,新洲,整租 ,嘉葆润金座距7号线沙尾地铁站步行734m,7000,60,2室1厅1卫, 嘉葆润金座 2室1厅1卫,https://sz.58.com/zufang/41416603221264x.shtml?houseId=1379283528342530&shangquan=szxinzhou&shangquanId=2670&dataSource=0
